"","Date","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustSpeed","RainToday","RISK_MM","RainTomorrow","WindDir","Humidity","Pressure","Cloud","Temp","Wind.Direction..degTN.","Wind.Speed..m.s.","Wind.Sigma.Theta..deg.","Wind.Speed.Std.Dev..m.s.","Air.Temperature..degC.","Relative.Humidity....","Nitrogen.Oxide..ppm.","Nitrogen.Dioxide..ppm.","Nitrogen.Oxides..ppm.","Carbon.Monoxide..ppm.","PM10..ug.m.3.","PM2.5..ug.m.3."
"1",17533,23.4,30.8,0,5.8,1.3,35,1,4.8,2,7,70,1003.25,7.5,28.45,112,1.3,44.35,0.9,29.6,65.45,0.0075,0.0115,0.0185,0.1,34.9,33.15
"2",17534,21.7,31.2,4.8,4.6,9.9,28,2,0,1,9,66,1006.2,5,27.1,156,1.6,46.85,0.9,29.15,58.2,0.0085,0.011,0.0195,0.1,11.1,6.85
"3",17535,21,29.5,0,8.8,11.7,24,1,0,1,6,56,1013.75,3,27.2,131,1.8,44.15,1.05,29.35,49.7,0.0065,0.0095,0.016,0.1,17.85,8.15
"4",17536,22.2,29.5,0,9.6,9.7,24,1,0,1,2.5,58,1015.9,5.5,27.85,83.5,1.65,53.65,0.9,29.25,54.05,0.0045,0.005,0.0095,0.05,13.25,4.35
"5",17540,22.3,32.1,0,11,11.7,26,1,0,1,6.5,48.5,1015.45,1.5,29.75,177,2.25,37.95,1.05,31.6,43,0.0155,0.0095,0.0245,0.1,14.05,4.1
"6",17541,22,32.3,0,10,11.5,22,1,0,1,10,49.5,1015.3,3,30.05,25.5,1.9,94.2,1.05,32.2,44.45,0.011,0.01,0.021,0.1,15.85,6.5
"7",17544,24,35.6,0,9.6,11.2,31,1,0.2,1,5,57.5,1005.9,5,31.8,35.5,2.3,103.5,1.15,33.9,51,0.0045,0.007,0.011,0.1,21.4,9.3
"8",17545,24.2,37.5,0.2,10.2,11.9,46,1,0,1,15.5,33,1000.75,5.5,35.05,260,3.7,28.5,1.7,36.5,28.85,0.0085,0.011,0.019,0.1,18.9,5
"9",17548,18.3,29.4,0,10.8,12.8,28,1,0,1,7,38.5,1016.25,1.5,26.3,134,1.95,45.15,1,28.35,35,0.0115,0.01,0.0215,0.1,20.35,4.7
"10",17549,19.5,30,0,10.6,12.7,24,1,0,1,7,42.5,1017.4,1,27,139.5,1.9,46.65,1.05,29.5,38.4,0.011,0.0115,0.022,0.1,33.45,11.65
"11",17550,17.4,31.4,0,8.8,12.2,22,1,0,1,9,45,1014.1,1,27.8,162,2.25,30.9,1.05,29.7,40.4,0.013,0.014,0.0265,0.1,26.7,10.35
"12",17551,19.1,32.2,0,8.4,12.1,35,1,0,1,6,48,1012.25,2,28.35,123,2.45,34.5,1.3,30.15,43.2,0.006,0.006,0.0115,0.1,14.6,2.95
"13",17552,21.1,30.2,0,10.2,5.7,28,1,0,1,1.5,56.5,1012.4,7,27.85,90,2.05,35.4,1.05,29,52.4,0.003,0.0025,0.0055,0.05,9.15,1.55
"14",17553,20.8,31.7,0,6.8,13,28,1,0,1,1.5,53,1011.85,5,28.4,66.5,1.7,58.3,1,29.8,48.5,0.0095,0.0075,0.0165,0.1,12.05,3.75
"15",17555,22.4,31.6,0,7.8,10,30,1,8.6,2,6,61.5,1011.4,4.5,28.6,54,2.35,91.7,1.1,30.3,56.85,0.015,0.009,0.024,0.15,14.15,5.85
"16",17558,24.3,32.8,0,8.8,12.7,31,1,2.4,2,1,55.5,1011.15,4.5,30.25,97.5,2.45,33.15,1.25,31.35,51.95,0.005,0.001,0.006,0.1,7.15,1.95
"17",17559,23.6,30.2,2.4,9,10.6,33,2,7.8,2,2,63.5,1010.2,6,28.25,127.5,2.15,33.2,1.25,29.4,60.8,0.007,0.003,0.01,0.1,13.6,6.5
"18",17560,21.8,31.5,7.8,9,8.9,35,2,1.6,2,5.5,55,1007.9,6.5,28.7,130.5,2.75,30.95,1.35,30.15,51.35,0.0165,0.01,0.0265,0.1,16.5625,6.35
"19",17561,22.5,32.7,1.6,9,9.9,28,2,0,1,5.5,57,1003.6,5,29.05,142,2.9,28.25,1.3,30.5,53.5,0.023,0.0115,0.034,0.15,22.85,6.4
"20",17562,22.3,34.7,0,9,11.3,35,1,4.2,2,9,57,1002.05,1,30.2,148,2.45,39.4,1.25,32.05,53.4,0.0125,0.0115,0.0235,0.1,22.2,9
"21",17563,21.3,25.5,4.2,8.4,0.2,31,2,11.2,2,10,63.5,1010.45,8,23.45,162,3.1,21,1.3,24.3,60.45,0.0295,0.0195,0.0485,0.2,15.1,4.8
"22",17564,18.5,21.7,11.2,4,0,19,2,6.2,2,11,85.5,1013,8,20.2,190,1.8,29.05,0.9,20.7,83.15,0.030625,0.019,0.0635,0.25,7.15,4.55
"23",17565,18.8,22.8,6.2,2,0,17,2,7.2,2,14,85,1014.65,8,20,204.5,1.55,35.85,0.8,20.45,82.65,0.02078125,0.0115,0.04,0.25,8.55,4.2
"24",17566,17.8,28,7.2,1.6,11.2,37,2,1,1,6,61,1016.3,3.5,25.2,153,3,26.95,1.3,26.55,55.1,0.0095,0.005,0.0145,0.05,6.65,0.4
"25",17570,18.6,29,0,9.8,11.1,39,1,0,1,5.5,51.5,1017.4,4,26.8,133,3.05,27.35,1.4,28.45,46.3,0.0205,0.0105,0.031,0.1,21.65,3.05
"26",17571,18.3,31.2,0,9,12.6,26,1,0,1,8.5,52.5,1014.55,1,27.35,148,2.1,34,1,29.25,48.25,0.0175,0.012,0.029,0.15,18.7,7
